label,data,lowercase,mapping_dict,remove_non_alphabet,no_whitespace,no_punctuation,standardized_word,stopwords,tokenized
anger,"Sorry kang, abdi mah TEU PERCAYA ka HUKUM nu kieu PATUT. HUKUM MILIK BURUY KECEBONG. nepi ka iraha oge teu rido teu sudi dilicikan. Teu hayang damai mun can jujur jeung adil. Akang teu kudu ngajak2 kabeh rakyat kudu sabalong jeung si ABU JANDA, embung geuleuh!!","sorry kang, abdi mah teu percaya ka hukum nu kieu patut. hukum milik buruy kecebong. nepi ka iraha oge teu rido teu sudi dilicikan. teu hayang damai mun can jujur jeung adil. akang teu kudu ngajak2 kabeh rakyat kudu sabalong jeung si abu janda, embung geuleuh!!","hampura kang, abdi mah teu percaya ka hukum nu kieu patut. hukum milik buruy kecebong. nepi ka iraha oge teu rido teu sudi dilicikan. teu hayang damai mun can jujur jeung adil. akang teu kudu ngajak2 kabeh rakyat kudu sabalong jeung si abu janda, embung geuleuh!!",hampura kang  abdi mah teu percaya ka hukum nu kieu patut  hukum milik buruy kecebong  nepi ka iraha oge teu rido teu sudi dilicikan  teu hayang damai mun can jujur jeung adil  akang teu kudu ngajak  kabeh rakyat kudu sabalong jeung si abu janda  embung geuleuh  ,hampura kang abdi mah teu percaya ka hukum nu kieu patut hukum milik buruy kecebong nepi ka iraha oge teu rido teu sudi dilicikan teu hayang damai mun can jujur jeung adil akang teu kudu ngajak kabeh rakyat kudu sabalong jeung si abu janda embung geuleuh ,hampura kang abdi mah teu percaya ka hukum nu kieu patut hukum milik buruy kecebong nepi ka iraha oge teu rido teu sudi dilicikan teu hayang damai mun can jujur jeung adil akang teu kudu ngajak kabeh rakyat kudu sabalong jeung si abu janda embung geuleuh ,hampura kang abdi mah teu percaya ka hukum nu boga kieu patut hukum milik buruy kecebong nepi ka ka iraha oge teu rido teu sudi dilicikan teu hayang damai mun can jujur jeung adil akang teu kudu ngajak kabeh rakyat kudu sabalong jeung si abu janda embung geuleuh,hampura abdi teu percaya hukum boga patut hukum milik buruy kecebong teu rido teu sudi dilicikan teu hayang damai can jujur adil akang teu kudu ngajak kabeh rakyat kudu sabalong abu janda embung geuleuh,"['hampura', 'abdi', 'teu', 'percaya', 'hukum', 'boga', 'patut', 'hukum', 'milik', 'buruy', 'kecebong', 'teu', 'rido', 'teu', 'sudi', 'dilicikan', 'teu', 'hayang', 'damai', 'can', 'jujur', 'adil', 'akang', 'teu', 'kudu', 'ngajak', 'kabeh', 'rakyat', 'kudu', 'sabalong', 'abu', 'janda', 'embung', 'geuleuh']"
joy,"Bingah ninggal bajaj di jakarta aya sticker Pikiran Rakyat, jadi hoyong geura uwih ka Bandung","bingah ninggal bajaj di jakarta aya sticker pikiran rakyat, jadi hoyong geura uwih ka bandung","bingah nihenteulkeun bajaj di jakarta aya sticker pikiran rakyat, jadi hoyong geura uwih ka bandung",bingah nihenteulkeun bajaj di jakarta aya sticker pikiran rakyat  jadi hoyong geura uwih ka bandung,bingah nihenteulkeun bajaj di jakarta aya sticker pikiran rakyat jadi hoyong geura uwih ka bandung,bingah nihenteulkeun bajaj di jakarta aya sticker pikiran rakyat jadi hoyong geura uwih ka bandung,bingah nihenteulkeun bajaj di jakarta aya sticker pikiran rakyat jadi hoyong geura-giru uwih ka bandung,bingah nihenteulkeun bajaj jakarta aya sticker pikiran rakyat jadi hoyong geura-giru uwih bandung,"['bingah', 'nihenteulkeun', 'bajaj', 'jakarta', 'aya', 'sticker', 'pikiran', 'rakyat', 'jadi', 'hoyong', 'geura-giru', 'uwih', 'bandung']"
sadness,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga..,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga..,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga..,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga  ,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga ,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga ,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga,"['rada', 'nyeredet', 'kanu', 'manah', 'ngadangu', 'suara', 'bebeledagan', 'petasan', 'teu', 'tiasa', 'ngempeul', 'sreng', 'kluarga']"
anger,Anjing pisan eta budak letik keneh wani ka awewe si aniing setan budak haram hungkul kesel,anjing pisan eta budak letik keneh wani ka awewe si aniing setan budak haram hungkul kesel,anjing pisan eta budak letik keneh wani ka awewe si aning setan budak haram hungkul kesel,anjing pisan eta budak letik keneh wani ka awewe si aning setan budak haram hungkul kesel,anjing pisan eta budak letik keneh wani ka awewe si aning setan budak haram hungkul kesel,anjing pisan eta budak letik keneh wani ka awewe si aning setan budak haram hungkul kesel,anjing pisan eta budak letik keneh wani ka awewe si aning setan budak haram hungkul kesel,budak letik wani awewe budak hungkul kesel,"['budak', 'letik', 'wani', 'awewe', 'budak', 'hungkul', 'kesel']"
fear,baru aja update tentang corona :( bener aja kan tuh di depok 2 orang udah positif :( sieun,baru aja update tentang corona :( bener aja kan tuh di depok 2 orang udah positif :( sieun,baru aja update tentang corona :( bener aja kan tuh di depok 2 orang udah positif :( sieun,baru aja update tentang corona    bener aja kan tuh di depok   orang udah positif    sieun,baru aja update tentang corona bener aja kan tuh di depok orang udah positif sieun,baru aja update tentang corona bener aja kan tuh di depok orang udah positif sieun,baru aja update tentang corona bener aja kan tuh di depok orang udah positif sieun,baru update corona bener tuh depok udah positif sieun,"['baru', 'update', 'corona', 'bener', 'tuh', 'depok', 'udah', 'positif', 'sieun']"
sadness,"Karunya si bapa, cing dilancarkeun rejekina","karunya si bapa, cing dilancarkeun rejekina","karunya si bapa, cing dilancarkeun rejekina",karunya si bapa  cing dilancarkeun rejekina,karunya si bapa cing dilancarkeun rejekina,karunya si bapa cing dilancarkeun rejekina,karunya si bapa cing dilancarkeun rejekina,karunya bapa cing dilancarkeun rejekina,"['karunya', 'bapa', 'cing', 'dilancarkeun', 'rejekina']"
fear,Sarieun kemarin di riung Bdg udah ada yg corona suganteh bohong :(,sarieun kemarin di riung bdg udah ada yg corona suganteh bohong :(,sarieun kemarin di riung bdg udah ada yg corona suganteh bohong :(,sarieun kemarin di riung bdg udah ada yg corona suganteh bohong   ,sarieun kemarin di riung bdg udah ada yg corona suganteh bohong ,sarieun kemarin di riung bdg udah ada yg corona suganteh bohong ,sarieun kemarin di riung bdg udah ada yg corona suganteh bohong,sarieun kemarin riung bdg udah yg corona suganteh bohong,"['sarieun', 'kemarin', 'riung', 'bdg', 'udah', 'yg', 'corona', 'suganteh', 'bohong']"
sadness,"Sedih ningali persib ayeuna, latihan ngan 10 jelema... Sedih adek baang :')","sedih ningali persib ayeuna, latihan ngan 10 jelema... sedih adek baang :')","sedih ningali persib ayeuna, latihan ngan 10 jelema... sedih adek bang :')",sedih ningali persib ayeuna  latihan ngan    jelema    sedih adek bang    ,sedih ningali persib ayeuna latihan ngan jelema sedih adek bang ,sedih ningali persib ayeuna latihan ngan jelema sedih adek bang ,sedih ningali persib ayeuna latihan ngan jelema sedih adek bang,ningali persib ayeuna latihan adek,"['ningali', 'persib', 'ayeuna', 'latihan', 'adek']"
fear,"Haruh ya allahh, ngabirigidig bakat ku sieun di carekan","haruh ya allahh, ngabirigidig bakat ku sieun di carekan","haruh ya kabehah, ngabirigidig bakat ku sieun di carekan",haruh ya kabehah  ngabirigidig bakat ku sieun di carekan,haruh ya kabehah ngabirigidig bakat ku sieun di carekan,haruh ya kabehah ngabirigidig bakat ku sieun di carekan,haruh ya kabehah ngabirigidig bakat ku sieun di carekan,haruh kabehah ngabirigidig bakat sieun carekan,"['haruh', 'kabehah', 'ngabirigidig', 'bakat', 'sieun', 'carekan']"
joy,Ngeunah seuri ya Allah. Nuhun. Sing sarehat,ngeunah seuri ya allah. nuhun. sing sarehat,ngeunah seuri ya kabehah. nuhun. sing sarehat,ngeunah seuri ya kabehah  nuhun  sing sarehat,ngeunah seuri ya kabehah nuhun sing sarehat,ngeunah seuri ya kabehah nuhun sing sarehat,ngeunah seuri ya kabehah hatur nuhun sing saha sarehat,ngeunah seuri kabehah hatur nuhun sing sarehat,"['ngeunah', 'seuri', 'kabehah', 'hatur', 'nuhun', 'sing', 'sarehat']"
anger,Aya aya wae ... Atuh dukun ...ah ngeraken daerah ..pasihan hukum nu ngarah jera pak pol asa kacida,aya aya wae ... atuh dukun ...ah ngeraken daerah ..pasihan hukum nu ngarah jera pak pol asa kacida,aya aya wae ... atuh dukun ...ah ngeraken daerah ..pasihan hukum nu ngarah jera pak pol asa kacida,aya aya wae     atuh dukun    ah ngeraken daerah   pasihan hukum nu ngarah jera pak pol asa kacida,aya aya wae atuh dukun ah ngeraken daerah pasihan hukum nu ngarah jera pak pol asa kacida,aya aya wae atuh dukun ah ngeraken daerah pasihan hukum nu ngarah jera pak pol asa kacida,aya aya wae atuh dukun ah ngeraken daerah pasihan hukum nu boga ngarah jera pak pol asa kacida,aya aya dukun ngeraken daerah pasihan hukum boga ngarah jera pak pol kacida,"['aya', 'aya', 'dukun', 'ngeraken', 'daerah', 'pasihan', 'hukum', 'boga', 'ngarah', 'jera', 'pak', 'pol', 'kacida']"
fear,di jalan oten sepi banget liwat dinya bulu kuduk saya berdiri tegak.. Sumpang sieun...,di jalan oten sepi banget liwat dinya bulu kuduk saya berdiri tegak.. sumpang sieun...,di jalan oten sepi banget liwat dinya bulu kuduk saya berdiri tegak.. sumpang sieun...,di jalan oten sepi banget liwat dinya bulu kuduk saya berdiri tegak   sumpang sieun   ,di jalan oten sepi banget liwat dinya bulu kuduk saya berdiri tegak sumpang sieun ,di jalan oten sepi banget liwat dinya bulu kuduk saya berdiri tegak sumpang sieun ,di jalan oten sepi banget liwat dinya bulu kuduk saya berdiri tegak sumpang sieun,jalan oten sepi banget liwat dinya bulu kuduk berdiri tegak sumpang sieun,"['jalan', 'oten', 'sepi', 'banget', 'liwat', 'dinya', 'bulu', 'kuduk', 'berdiri', 'tegak', 'sumpang', 'sieun']"
fear,Teu wani urang mah mun nga WA kitu. Sieun di ayun ku om,teu wani urang mah mun nga wa kitu. sieun di ayun ku om,teu wani urang mah mun nga wa kitu. sieun di ayun ku om,teu wani urang mah mun nga wa kitu  sieun di ayun ku om,teu wani urang mah mun nga wa kitu sieun di ayun ku om,teu wani urang mah mun nga wa kitu sieun di ayun ku om,teu wani urang mah mun nga wa kitu sieun di ayun ku om,teu wani urang nga wa sieun ayun om,"['teu', 'wani', 'urang', 'nga', 'wa', 'sieun', 'ayun', 'om']"
fear,"muringkak sagala bulu mun ngadenge lagu lengser wengi , anjislah","muringkak sagala bulu mun ngadenge lagu lengser wengi , anjislah","muringkak sagala bulu mun ngadenge lagu lengser wengi , anjislah",muringkak sagala bulu mun ngadenge lagu lengser wengi   anjislah,muringkak sagala bulu mun ngadenge lagu lengser wengi anjislah,muringkak sagala bulu mun ngadenge lagu lengser wengi anjislah,muringkak sagala bulu mun ngadenge lagu lengser wengi anjislah,muringkak sagala bulu ngadenge lagu lengser wengi anjislah,"['muringkak', 'sagala', 'bulu', 'ngadenge', 'lagu', 'lengser', 'wengi', 'anjislah']"
fear,anjiiiir sumpah ngabirigidig yeuh bulu kuduk sieun...,anjiiiir sumpah ngabirigidig yeuh bulu kuduk sieun...,anjir sumpah ngabirigidig yeuh bulu kuduk sieun...,anjir sumpah ngabirigidig yeuh bulu kuduk sieun   ,anjir sumpah ngabirigidig yeuh bulu kuduk sieun ,anjir sumpah ngabirigidig yeuh bulu kuduk sieun ,anjir sumpah ngabirigidig yeuh bulu kuduk sieun,ngabirigidig yeuh bulu kuduk sieun,"['ngabirigidig', 'yeuh', 'bulu', 'kuduk', 'sieun']"
anger,NYA MEUNGGEUS ATUH GOBLOG KUMAHA SIA WAE LAH PADULI BAGONG,nya meunggeus atuh goblog kumaha sia wae lah paduli bagong,nya meusanggeus atuh goblog kumaha sia wae lah paduli bagong,nya meusanggeus atuh goblog kumaha sia wae lah paduli bagong,nya meusanggeus atuh goblog kumaha sia wae lah paduli bagong,nya meusanggeus atuh goblog kumaha sia wae lah paduli bagong,nya meusanggeus atuh goblog kumaha sia wae lah paduli bagong,meusanggeus paduli bagong,"['meusanggeus', 'paduli', 'bagong']"
joy,Alhamdulillah Final Finis ke 7 Dari 20 pembalap padahal dari Gr ..Nuhun ka Gusti Allah .. Warga Pantura bisa Balap.....,alhamdulillah final finis ke 7 dari 20 pembalap padahal dari gr ..nuhun ka gusti allah .. warga pantura bisa balap.....,alhamdulilahh final finis ke 7 dari 20 pembalap padahal dari gr ..nuhun ka gusti kabehah .. warga pantura bisa balap.....,alhamdulilahh final finis ke   dari    pembalap padahal dari gr   nuhun ka gusti kabehah    warga pantura bisa balap     ,alhamdulilahh final finis ke dari pembalap padahal dari gr nuhun ka gusti kabehah warga pantura bisa balap ,alhamdulilahh final finis ke dari pembalap padahal dari gr nuhun ka gusti kabehah warga pantura bisa balap ,alhamdulilahh final finis ke dari pembalap padahal dari gr hatur nuhun ka gusti kabehah warga pantura bisa balap,alhamdulilahh final finis pembalap gr hatur nuhun kabehah warga pantura balap,"['alhamdulilahh', 'final', 'finis', 'pembalap', 'gr', 'hatur', 'nuhun', 'kabehah', 'warga', 'pantura', 'balap']"
joy,Nuansa kieu nuhun gusti langit hari senin kali ini menyejukan hati yang rungsing,nuansa kieu nuhun gusti langit hari senin kali ini menyejukan hati yang rungsing,nuansa kieu nuhun gusti langit hari senin kali ini menyejukan hati yang rungsing,nuansa kieu nuhun gusti langit hari senin kali ini menyejukan hati yang rungsing,nuansa kieu nuhun gusti langit hari senin kali ini menyejukan hati yang rungsing,nuansa kieu nuhun gusti langit hari senin kali ini menyejukan hati yang rungsing,nuansa kieu hatur nuhun gusti langit hari senin sababaraha-kali ini menyejukan hati yang rungsing,nuansa hatur nuhun langit hari senin sababaraha-kali menyejukan hati,"['nuansa', 'hatur', 'nuhun', 'langit', 'hari', 'senin', 'sababaraha-kali', 'menyejukan', 'hati']"
fear,"Cuacana kieu tibaheula ge da pasti flu,batuk,hareeng.ngan kusabab keur usum si corola,jadi weh asa hariwang.","cuacana kieu tibaheula ge da pasti flu,batuk,hareeng.ngan kusabab keur usum si corola,jadi weh asa hariwang.","cuacana kieu tibaheula ge da pasti flu,batuk,hareng.ngan kusabab keur usum si corola,jadi weh asa hariwang.",cuacana kieu tibaheula ge da pasti flu batuk hareng ngan kusabab keur usum si corola jadi weh asa hariwang ,cuacana kieu tibaheula ge da pasti flu batuk hareng ngan kusabab keur usum si corola jadi weh asa hariwang ,cuacana kieu tibaheula ge da pasti flu batuk hareng ngan kusabab keur usum si corola jadi weh asa hariwang ,cuacana kieu tibaheula ge da pasti flu batuk hareng ngan kusabab keur usum si corola jadi weh asa hariwang,cuacana tibaheula flu batuk kusabab usum corola jadi hariwang,"['cuacana', 'tibaheula', 'flu', 'batuk', 'kusabab', 'usum', 'corola', 'jadi', 'hariwang']"
fear,"anjir meni segitunya, grgr corona langsung sarieun:((","anjir meni segitunya, grgr corona langsung sarieun:((","anjir meni segitunya, grgr corona langsung sarieun:((",anjir meni segitunya  grgr corona langsung sarieun   ,anjir meni segitunya grgr corona langsung sarieun ,anjir meni segitunya grgr corona langsung sarieun ,anjir meni segitunya grgr corona langsung sarieun,segitunya grgr corona langsung sarieun,"['segitunya', 'grgr', 'corona', 'langsung', 'sarieun']"
fear,asli ngarinding ngadenge lengser wengi,asli ngarinding ngadenge lengser wengi,asli ngarinding ngadenge lengser wengi,asli ngarinding ngadenge lengser wengi,asli ngarinding ngadenge lengser wengi,asli ngarinding ngadenge lengser wengi,asli ngarinding ngadenge lengser wengi,asli ngarinding ngadenge lengser wengi,"['asli', 'ngarinding', 'ngadenge', 'lengser', 'wengi']"
sadness,Hampura kana dosa nu tekarasa bisi aya basa carita nu kurang ngenah kana manah ngarana hubungan pasti aya tapakna,hampura kana dosa nu tekarasa bisi aya basa carita nu kurang ngenah kana manah ngarana hubungan pasti aya tapakna,hampura kana dosa nu tekarasa bisi aya basa carita nu kurang ngenah kana manah ngarana hubungan pasti aya tapakna,hampura kana dosa nu tekarasa bisi aya basa carita nu kurang ngenah kana manah ngarana hubungan pasti aya tapakna,hampura kana dosa nu tekarasa bisi aya basa carita nu kurang ngenah kana manah ngarana hubungan pasti aya tapakna,hampura kana dosa nu tekarasa bisi aya basa carita nu kurang ngenah kana manah ngarana hubungan pasti aya tapakna,hampura kana dosa nu boga tekarasa bisi aya basa carita nu boga kurang ngenah kana manah ngarana hubungan pasti aya tapakna,hampura kana dosa boga tekarasa bisi aya basa carita boga kurang ngenah kana manah ngarana hubungan aya tapakna,"['hampura', 'kana', 'dosa', 'boga', 'tekarasa', 'bisi', 'aya', 'basa', 'carita', 'boga', 'kurang', 'ngenah', 'kana', 'manah', 'ngarana', 'hubungan', 'aya', 'tapakna']"
